nome;propri;munic1;uf1;munic2;uf2;rio;potkw;atualiz;iniciop;potfisc;idemp;lat;long;estag
Tijuco Alto;Companhia Brasileira de Alumínio - CBA;Ribeira;SP;Adrianópolis;PR;Rio Ribeira de Iguape;144000,00000000;30/10/2023;00000000;0,00000000;2850;-24,64944444;-49,03472222;Extinta
Serraria;Companhia Brasileira de Alumínio;Juquiá;SP;;;Rio Juquiá-Guaçu;24000,00000000;30/10/2023;01/01/1978;24000,00000000;2740;-24,15194400;-47,54805600;Operação
Salto do Iporanga;Companhia Brasileira de Alumínio;Juquiá;SP;;;Rio Açungui;36870,00000000;30/10/2023;01/01/1989;36870,00000000;2626;-24,10040253;-47,71986873;Operação
Alecrim;Companhia Brasileira de Alumínio;Miracatu;SP;Juquiá;SP;Rio Juquiá-Guaçu;72000,00000000;30/10/2023;01/01/1974;72000,00000000;47;-24,08132336;-47,47732805;Operação
Porto Raso;Companhia Brasileira de Alumínio;Tapiraí;SP;Miracatu;SP;Rio Juquiá-Guaçu;28400,00000000;30/10/2023;01/01/1982;28400,00000000;2128;-24,06183613;-47,41635410;Operação
Barra;Companhia Brasileira de Alumínio;Tapiraí;SP;Miracatu;SP;Rio Juquiá-Guaçu;40400,00000000;30/10/2023;01/01/1986;40400,00000000;207;-24,02318908;-47,35577271;Operação
Fumaça;Companhia Brasileira de Alumínio;Ibiúna;SP;Miracatu;SP;Rio Juquiá-Guaçu;36400,00000000;30/10/2023;01/01/1964;36400,00000000;1000;-24,00875028;-47,26445434;Operação
Apiaí-Guaçu;Companhia Sul Paulista de Energia;Itapeva;SP;;;Rio Apiaí-Guaçu;1912,50000000;30/10/2023;00000000;0,00000000;117;-24,00855362;-48,72471356;Desativada
França;Companhia Brasileira de Alumínio;Juquitiba;SP;Ibiúna;SP;Rio Juquiá-Guaçu;29500,00000000;30/10/2023;01/01/1958;29500,00000000;990;-23,94131743;-47,19505314;Operação
Henry Borden;Empresa Metropolitana de Águas e Energia S/A.;Cubatão;SP;São Bernardo do Campo;SP;Rio Pedras;889000,00000000;30/10/2023;01/01/1926;889000,00000000;1084;-23,86191495;-46,46208827;Operação
Pedreira (Elevatória/Potência de bombeamento 93.500 kW);Empresa Metropolitana de Águas e Energia  S.A.;São Paulo;SP;São Paulo;SP;Rio Pinheiros;0,00000000;30/10/2023;00000000;0,00000000;2024;-23,70327308;-46,67449392;Operação
Poço Fundo;S/A Indústrias Votorantim;Piedade;SP;;;Rio Pirapora;0,00000000;30/10/2023;00000000;0,00000000;27596;-23,69910348;-47,44516991;Extinta
Itupararanga;Companhia Brasileira de Alumínio;Votorantim;SP;;;Rio Sorocaba;55000,00000000;30/10/2023;01/01/1914;56170,00000000;1196;-23,61203363;-47,39716291;Operação
Paraibuna;Companhia Energética de São Paulo;Paraibuna;SP;;;Rio Paraibuna;87020,00000000;30/10/2023;20/04/1978;87020,00000000;27122;-23,41000000;-45,60055600;Operação
Rasgão;Empresa Metropolitana de Águas e Energia S/A.;Pirapora do Bom Jesus;SP;Araçariguama;SP;Rio Tietê;22000,00000000;30/10/2023;06/09/1925;22000,00000000;2187;-23,38309330;-47,02960459;Operação
Santa Branca;Light Energia S.A.;Jacareí;SP;Santa Branca;SP;Rio Paraíba do Sul;56050,00000000;30/10/2023;21/05/1999;56050,00000000;2696;-23,37350015;-45,87151388;Operação
Jurumirim (Armando Avellanal Laydner);Rio Paranapanema Energia S.A.;Cerqueira César;SP;Piraju;SP;Rio Paranapanema;100956,00000000;30/10/2023;21/09/1962;100956,00000000;1285;-23,21020543;-49,23040451;Operação
Porto Góes;Empresa Metropolitana de Águas e Energia S.A.;Salto;SP;;;Rio Tietê;24800,00000000;30/10/2023;04/11/1928;24800,00000000;2123;-23,20940495;-47,29940616;Operação
Jaguari;Companhia Energética de São Paulo;Jacareí;SP;São José dos Campos;SP;Rio Jaguari;27600,00000000;30/10/2023;11/12/1973;27600,00000000;27131;-23,19298222;-46,02131538;Operação
Paranapanema;Enel Green Power Paranapanema S.A.;Piraju;SP;;;Rio Paranapanema;31500,00000000;30/10/2023;01/01/1957;31500,00000000;1972;-23,18769353;-49,38446602;Operação
Pirajú;Companhia Brasileira de Alumínio - CBA - Matriz;Piraju;SP;;;Rio Paranapanema;70000,00000000;30/10/2023;12/09/2002;80000,00000000;2077;-23,15423721;-49,37997117;Operação
Chavantes;Rio Paranapanema Energia S.A.;Chavantes;SP;Ribeirão Claro;PR;Rio Paranapanema;414000,00000000;30/10/2023;30/11/1970;414000,00000000;764;-23,12795665;-49,73295944;Operação
Ourinhos;Companhia Brasileira de Alumínio;Jacarezinho;PR;Ourinhos;SP;Rio Paranapanema;44000,00000000;30/10/2023;07/12/2005;44100,00000000;27872;-23,06825556;-49,83797778;Operação
Canoas I;Companhia Brasileira de Alumínio, Rio Paranapanema Energia S.A.;Cândido Mota;SP;Itambaracá;PR;Rio Paranapanema;82500,00000000;30/10/2023;09/05/1999;82500,00000000;647;-22,94111111;-50,51722222;Operação
Canoas II;Companhia Brasileira de Alumínio, Rio Paranapanema Energia S.A.;Andirá;PR;Palmital;SP;Rio Paranapanema;72000,00000000;30/10/2023;13/07/1999;72000,00000000;27092;-22,93833333;-50,25083333;Operação
Salto Grande (Lucas Nogueira Garcez);Duke Energy International, Geração Paranapanema S.A.;Cambará;PR;Salto Grande;SP;Rio Paranapanema;73800,00000000;30/10/2023;31/05/1958;73800,00000000;2648;-22,90389936;-49,99798631;Operação
Paca Grande I;EBDE Energia S.A.;Bananal;SP;Angra dos Reis;RJ;Rio Paca Grande;45504,00000000;30/10/2023;00000000;0,00000000;33612;-22,87444450;-44,44638898;DRS
